1,aa,20,440.0
2,aa,2,44.0
2,aa,2,44.0
2,aa,2,44.0
3,00,100,1000.0
3,00,10,100.0
4,Burger,10,500.0
4,Coke,10,400.0
4,Coke,5,200.0
5,Burger,30,1500.0
6,Pizza,10,1200.0
7,eggs,10,150.0
7,chips,20,400.0
8,chips,40,800.0
8,eggs,50,750.0
9,eggs,10,150.0
10,eggs,10,150.0
11,eggs,20,300.0
12,chips,40,800.0
13,Burger,5,245.0
13,Tea,5,100.0
14,Tea,5,125.0
14,Pizza,2,258.0
14,Burger,5,245.0
15,Burger,20,980.0
16,Burger,10,490.0
16,Coffee,10,990.0
16,French Fries,5,495.0
17,Burger,50,2450.0
18,Burger,10,490.0
19,Pizza,5,645.0
19,French Fries,5,495.0
19,Burger,10,490.0
20,Pizza,3,387.0
20,Coffee,1,99.0
21,Burger,10,490.0
21,Pizza,5,645.0
21,French Fries,4,396.0
21,Coffee,10,490.0
21,Ice Cream,10,490.0
21,Candy Ball,5,250.0
22,Burger,5,245.0
23,Burger,5,245.0
23,Ice Cream,10,490.0
